accession	cluster	abundance	length_ave	score	read_count	total_bases	coverage	subsampled	coverage_final	notes	index
ERR3406049	E_col_Pop89	0.595385	4864149.583333333	1	965327.8293745377	234902874	48.29269124553205	0	48.29269124553205		59.0
ERR3406051	E_col_Pop6	0.920302	4965438.799528302	1	180520.6536913854	43964000	8.854000980573241	0	8.854000980573241	Warning: low coverage (8.854000980573241) so distances may not be accurate	1.0
ERR3406052	E_col_Pop12	1.54212e-06	5410066.591715977	1	787158.7340731607	191515720	35.39988219243982	0	35.39988219243982		1.0
ERR3406056	E_col_Pop100	0.049413	4754787.2	1	615935.5623350923	149401330	31.421244256735612	0	31.421244256735612		115.0
ERR3406056	E_col_Pop200	0.0202295	5010185.0	1	689530.9924167491	167307800	33.39353736438874	0	33.39353736438874		15.0
ERR3406056	E_col_Pop204	6.61701e-06	4818631.75	1	693409.2333058533	168221080	34.91054903707884	0	34.91054903707884		76.0
ERR3406056	E_col_Pop206	8.80803e-06	4699136.75	1	756170.9140360999	183492434	39.04811537991526	0	39.04811537991526		33.0
ERR3406056	E_col_Pop6	1.93103e-05	4965438.799528302	1	711723.5042030658	172721060	34.78465186529091	0	34.78465186529091		1.0
ERR3406056	E_col_Pop78	0.510477	5018982.642857143	1	800701.9602998106	194426450	38.73821924383452	0	38.73821924383452		0.0
ERR3406056	E_col_Pop85	4.47101e-05	4895290.076923077	1	613754.5971798466	148860040	30.408829233990076	0	30.408829233990076		29.0
ERR3406060	E_col_Pop3	0.963289	5143260.323902439	1	771334.0629611411	188174658	36.58664857493016	0	36.58664857493016		0.0
ERR3406063	E_col_Pop4	0.703298	5141006.615289765	1	207404.44499017682	50673054	9.85664049707586	0	9.85664049707586	Warning: low coverage (9.85664049707586) so distances may not be accurate	12.0
ERR3406064	E_col_Pop54	0.913863	4989083.88	1	325397.17847769026	79344848	15.90369091970448	0	15.90369091970448		9.0
ERR3406065	E_col_Pop2	0.995084	5164877.042972247	1	3769314.6573656136	918581982	177.85166507495035	1	100	Warning: high coverage (177.85166507495035) so 2119358 reads were subsampled to reduce the coverage to 100	0.0
ERR3406069	E_col_Pop13	0.158748	5119815.905797102	1	198018.39014373717	48217478	9.417814797872706	0	9.417814797872706	Warning: low coverage (9.417814797872706) so distances may not be accurate	1.0
ERR3406069	E_col_Pop168	0.760594	4943447.8	1	704480.1960784313	172456752	34.88592556798112	0	34.88592556798112		21.0
ERR3406070	E_col_Pop211	0.780496	5025906.25	1	1264603.6394863827	309246174	61.53043025822458	0	61.53043025822458		6.0
ERR3406070	E_col_Pop3	0.162632	5143260.323902439	1	367960.58125255833	89892770	17.477779528723918	0	17.477779528723918		0.0
ERR3406071	E_col_Pop12	5.70492e-06	5410066.591715977	1	409163.7677588897	99647744	18.418949621171578	0	18.418949621171578		0.0
ERR3406071	E_col_Pop14	0.555599	5232497.992063492	1	760251.9448547513	185288604	35.411118032159905	0	35.411118032159905		17.0
ERR3406071	E_col_Pop8	2.18344e-06	5408131.378181818	1	360854.2077580539	87817480	16.238044873370608	0	16.238044873370608		1.0
ERR3406072	E_col_Pop4	0.999981	5141006.615289765	1	3405227.0325703504	830126246	161.4715381869259	1	100	Warning: high coverage (161.4715381869259) so 2108871 reads were subsampled to reduce the coverage to 100	0.0
ERR3406073	E_col_Pop5	0.681995	5250600.386752137	1	852603.0474318014	208154508	39.643944057368664	0	39.643944057368664		16.0
ERR3406074	E_col_Pop204	0.00300153	4818631.75	1	216386.5024146681	52871878	10.972384017517006	0	10.972384017517006		123.0
ERR3406074	E_col_Pop6	0.173741	4965438.799528302	1	237817.33758795614	58132070	11.707337930642169	0	11.707337930642169		1.0
ERR3406076	E_col_Pop24	0.562973	5001836.486842105	1	219896.99581383896	53580102	10.712085879046326	0	10.712085879046326		28.0
ERR3406078	E_col_Pop14	0.900861	5232497.992063492	1	1157536.709068527	282091696	53.91147716212579	0	53.91147716212579		0.0
ERR3406078	E_col_Pop5	0.0990477	5250600.386752137	1	237224.45522572158	57697732	10.988787519533567	0	10.988787519533567		1.0
ERR3406079	E_col_Pop38	0.922479	4955028.311111111	1	2134716.987625994	520999028	105.14551992199851	1	100.0	Warning: high coverage (105.14551992199851) so 2030250 reads were subsampled to reduce the coverage to 100	8.0
ERR3406080	E_col_Pop26	0.35987	5206619.471428571	1	272088.4883816405	66275314	12.729048927751895	0	12.729048927751895		3.0
ERR3406080	E_col_Pop87	0.486612	5153874.25	1	351144.89695377287	85531874	16.595646275226834	0	16.595646275226834		5.0
ERR3406082	E_col_Pop11	1.13616e-06	5193807.442553191	1	502564.22710863146	122505056	23.58675352426591	0	23.58675352426591		1.0
ERR3406082	E_col_Pop26	0.463627	5206619.471428571	1	656043.5815515688	160166480	30.762086777978833	0	30.762086777978833		2.0
ERR3406082	E_col_Pop3	0.534335	5143260.323902439	1	599808.1599213502	146425168	28.469328554013416	0	28.469328554013416		0.0
ERR3406085	E_col_Pop199	0.115952	4794440.75	1	1110052.8340579115	270653082	56.45143951356579	0	56.45143951356579		105.0
ERR3406085	E_col_Pop216	0.0978871	4953875.0	1	751436.5719448094	182989834	36.93872655244632	0	36.93872655244632		25.0
ERR3406085	E_col_Pop58	0.151973	4968105.571428572	1	503241.18033864873	122448644	24.646948870047876	0	24.646948870047876		26.0
ERR3406085	E_col_Pop6	1.97135e-06	4965438.799528302	1	1093267.7903543308	266582418	53.68758507814543	0	53.68758507814543		1.0
ERR3406086	E_col_Pop182	0.0269946	5284779.5	1	392010.85634451016	95399762	18.051796106157315	0	18.051796106157315		107.0
ERR3406086	E_col_Pop3	0.0885308	5143260.323902439	1	91055.0681289465	21918776	4.261650124559352	0	4.261650124559352	Warning: low coverage (4.261650124559352) so distances may not be accurate	4.0
ERR3406086	E_col_Pop40	3.71354e-05	5121280.674418605	1	387047.66485775367	94145474	18.383189671729504	0	18.383189671729504		19.0
